Section,Task,Subtask,Workstream,Decision Gate,Blocker,Requires Stakeholder Decision,CRM Environment,Effort,Priority,Baseline / Target Metric,Assignee Primary,Assignee Secondary,Milestone,Depends On,Related Docs
Business Definitions & Sign-Off,,Enrollment specialists assign and update statuses,Definitions,Yes,No,Yes,Discovery,M,P0,,Joel,"Keren, Avi",No,,
Business Definitions & Sign-Off,Confirm layer separation model,Layer 1: Episode.status — master lifecycle,Definitions,No,No,Yes,Discovery,M,P0,,Keren,"Joel, Avi",No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts
Business Definitions & Sign-Off,,Layer 2: Episode.leadStage — referral funnel,Definitions,No,No,Yes,Discovery,M,P0,,Keren,"Joel, Avi",No,,
Business Definitions & Sign-Off,,Layer 3: Intake.status — LOB process (not master status),Definitions,No,No,Yes,Discovery,M,P0,,Keren,"Joel, Avi",No,,
Business Definitions & Sign-Off,,Layer 4: Authorization.status — validity (not census),Definitions,No,No,Yes,Discovery,M,P0,,Keren,"Joel, Avi",No,,
Business Definitions & Sign-Off,,Layer 5: Patient LOB — service-line status,Definitions,No,No,Yes,Discovery,M,P0,,Keren,"Joel, Avi",No,,
Business Definitions & Sign-Off,,Layer 6: Medicaid ticket — orthogonal track,Definitions,No,No,Yes,Discovery,M,P0,,Keren,"Joel, Avi",No,,
Business Definitions & Sign-Off,,Layer 7: Episode.outcome — terminal reason,Definitions,No,No,Yes,Discovery,M,P0,,Keren,"Joel, Avi",No,,
Business Definitions & Sign-Off,,Layer 8: Follow-up / hold / recycle dates,Definitions,No,No,Yes,Discovery,M,P0,,Keren,"Joel, Avi",No,,
Business Definitions & Sign-Off,Resolve edge case decision log (20 scenarios),NIA failed → Dropped Off; re-apply after ~180-day wait (Joel confirming exact period),Definitions,No,No,Yes,Discovery,L,P0,,Joel,Keren,No,,https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md
Business Definitions & Sign-Off,,Authorization received but no SOC started,Definitions,No,No,Yes,Discovery,L,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,,Auth expired but patient still receiving care,Definitions,No,No,Yes,Discovery,L,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,,"One LOB dropped, another active",Definitions,No,No,Yes,Discovery,L,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,,Short-term sent to third party (Girling),Definitions,No,No,Yes,Discovery,L,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,,"CDPAP post–April 1, 2025 cohort",Definitions,No,No,Yes,Discovery,L,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,,Returning former patient — new Episode vs reopen,Definitions,No,No,Yes,Discovery,L,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,,Voided vs dropped intake,Definitions,No,No,Yes,Discovery,L,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,,Medicaid deferred vs dropped off,Definitions,No,No,Yes,Discovery,L,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,,Primary LOB when multiple intakes open,Definitions,No,No,Yes,Discovery,L,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,Confirm census definition,Define: Episode Active + valid AUTH_APPROVED + confirmed SOC on gold LOB,Definitions,Yes,No,Yes,Discovery,S,P0,"~1,960 authorized → ~1,200–1,300 true census",Joel,Avi,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
Business Definitions & Sign-Off,,Choose source of truth: Billing vs EVV vs CRM vs hybrid,Definitions,Yes,No,Yes,Discovery,S,P0,"~1,960 authorized → ~1,200–1,300 true census",Joel,Avi,No,,
Business Definitions & Sign-Off,,Confirm Active threshold: SOC required vs cleared-to-start,Definitions,Yes,No,Yes,Discovery,S,P0,"~1,960 authorized → ~1,200–1,300 true census",Joel,Avi,No,,
Business Definitions & Sign-Off,,"Exclude: CDPAP sunset, third-party referrals, short-term-only lead loss",Definitions,Yes,No,Yes,Discovery,S,P0,"~1,960 authorized → ~1,200–1,300 true census",Joel,Avi,No,,
Business Definitions & Sign-Off,Export and sign off ReferralOutcome picklist,Export current ReferralOutcome values from Schema Manager,Definitions,No,No,Yes,Discovery,S,P0,,Avi,"Joel, Keren",No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary/drop-reasons-for-signoff.md; https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json; https://github.com/klacadin/evo-growth/blob/master/crm/asana/nexus-discovery-asana-sync.md
Business Definitions & Sign-Off,,Group into referral-drop reasons vs discharge reasons,Definitions,No,No,Yes,Discovery,S,P0,,Avi,"Joel, Keren",No,,
Business Definitions & Sign-Off,,Require outcome on Dropped Off Referral and Discharged,Definitions,No,No,Yes,Discovery,S,P0,,Avi,"Joel, Keren",No,,
Business Definitions & Sign-Off,,Joel signs final picklist values,Definitions,No,No,Yes,Discovery,S,P0,,Avi,"Joel, Keren",No,,
Business Definitions & Sign-Off,Document LOB eligibility criteria matrix,"MLTC: Medicaid + qualifying diagnosis (dementia, brain injury, etc.)",Definitions,No,No,No,Discovery,M,P0,,Joel,Keren,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
Business Definitions & Sign-Off,,Custodial: Medicaid + developmental delay,Definitions,No,No,No,Discovery,M,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,,Short-term: skilled need + Medicare/Medicaid,Definitions,No,No,No,Discovery,M,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,,"NHTD, OPWDD, Private Pay checklists",Definitions,No,No,No,Discovery,M,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,,Note: dynamic LOB light-up UI as planned Phase 2 enhancement,Definitions,No,No,No,Discovery,M,P0,,Joel,Keren,No,,
Business Definitions & Sign-Off,Simplify drop reasons to ~10 categories,Draft list in crm/glossary-pipeline-v2.md,Definitions,No,No,Yes,Discovery,S,P0,,Keren,Joel,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary/drop-reasons-for-signoff.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md
Business Definitions & Sign-Off,,Replace overly long current picklist,Definitions,No,No,Yes,Discovery,S,P0,,Keren,Joel,No,,
Business Definitions & Sign-Off,,Joel signs final ~10 values before ReferralOutcome export,Definitions,No,No,Yes,Discovery,S,P0,,Keren,Joel,No,,
Business Definitions & Sign-Off,,Map old drop reasons to new categories for backfill,Definitions,No,No,Yes,Discovery,S,P0,,Keren,Joel,No,,
Business Definitions & Sign-Off,Joel: Confirm NIA re-application waiting period,Confirm 180-day estimate from meeting,Definitions,No,No,No,Discovery,S,P0,,Joel,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md
Business Definitions & Sign-Off,,Document appeal process (unlimited appeals noted),Definitions,No,No,No,Discovery,S,P0,,Joel,,No,,
Business Definitions & Sign-Off,,Define CRM follow-up bucket for failed NIA after wait period,Definitions,No,No,No,Discovery,S,P0,,Joel,,No,,
Business Definitions & Sign-Off,Document short-term care integration rules,NH discharge planner as primary referral source,Definitions,No,No,No,Discovery,M,P0,,Keren,Joel,No,,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md
Business Definitions & Sign-Off,,"Parallel statuses: In Progress, Accepted, Startup, Authorized",Definitions,No,No,No,Discovery,M,P0,,Keren,Joel,No,,
Business Definitions & Sign-Off,,Icon-only UI until authorized — does not affect main pipeline metrics,Definitions,No,No,No,Discovery,M,P0,,Keren,Joel,No,,
Business Definitions & Sign-Off,,On authorized: promote to Active on main pipeline,Definitions,No,No,No,Discovery,M,P0,,Keren,Joel,No,,
Business Definitions & Sign-Off,,If not authorized: main status may stay Dropped Off or Discharged,Definitions,No,No,No,Discovery,M,P0,,Keren,Joel,No,,
Business Definitions & Sign-Off,Sign Status Framework v1,"Compile signed glossary (pipeline v2), flowcharts, LOB matrix, drop reasons, NIA rules",Definitions,Yes,Yes,No,Discovery,S,P0,,Keren,"Joel, Avi, Leah",Yes,Finalize patient status labels and lifecycle flowcharts,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/flowcharts/pipeline-flowcharts-v1.md; https://github.com/klacadin/evo-growth/blob/master/crm/glossary/drop-reasons-for-signoff.md; https://github.com/klacadin/evo-growth/blob/master/crm/meeting-notes/2026-07-pipeline-alignment.md; https://github.com/klacadin/evo-growth/blob/master/crm/alignment-meeting/03-decision-worksheet.md
Business Definitions & Sign-Off,,Publish to Teams + repo,Definitions,Yes,Yes,No,Discovery,S,P0,,Keren,"Joel, Avi, Leah",Yes,Finalize patient status labels and lifecycle flowcharts,
Business Definitions & Sign-Off,,Joel ops sign-off + Leah comms alignment + Avi technical feasibility,Definitions,Yes,Yes,No,Discovery,S,P0,,Keren,"Joel, Avi, Leah",Yes,Finalize patient status labels and lifecycle flowcharts,
Business Definitions & Sign-Off,,Unlock Joel → Avi implementation review meeting and CRM Build workstream,Definitions,Yes,Yes,No,Discovery,S,P0,,Keren,"Joel, Avi, Leah",Yes,Finalize patient status labels and lifecycle flowcharts,
Current State & Data Baseline,Schema Manager object inventory,"Episode — 92 fields; document EpisodeStatus, leadStage, outcome",Baseline,No,No,No,Discovery,M,P0,,Keren,Avi,No,,https://github.com/klacadin/evo-growth/blob/master/crm/crm-bot-discovery.prompt.md; https://github.com/klacadin/evo-growth/blob/master/crm/asana/nexus-discovery-asana-sync.md; https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json
Current State & Data Baseline,,"Patient — 278 fields, 53 picklists; document legacy status fields",Baseline,No,No,No,Discovery,M,P0,,Keren,Avi,No,,
Current State & Data Baseline,,"Intake — 130 fields, 24 picklists",Baseline,No,No,No,Discovery,M,P0,,Keren,Avi,No,,
Current State & Data Baseline,,Authorization — 66 fields; document baseStatus STRING risk,Baseline,No,No,No,Discovery,M,P0,,Keren,Avi,No,,
Current State & Data Baseline,,Identify which objects share LeadStatus picklist,Baseline,No,No,No,Discovery,M,P0,,Keren,Avi,No,,
Current State & Data Baseline,Map Nexus objects to audit queries,Retarget crm/audit/data-integrity-audit.sql from persons → Episode/Patient/Intake/Authorization,Baseline,No,No,No,Discovery,M,P0,,Avi,Keren,No,Sign Status Framework v1,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/crm-bot-discovery.prompt.md
Current State & Data Baseline,,Document Query Console equivalents,Baseline,No,No,No,Discovery,M,P0,,Avi,Keren,No,Sign Status Framework v1,
Current State & Data Baseline,,Create baseline recording template in workspace doc,Baseline,No,No,No,Discovery,M,P0,,Avi,Keren,No,Sign Status Framework v1,
Current State & Data Baseline,Run distribution baselines,"Episode.status distribution (New, Lead, Active, Converted, On Hold, Dropped, Discharged)",Baseline,No,No,No,Discovery,M,P0,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json
Current State & Data Baseline,,leadStage distribution — especially all-In-Progress on Leads list (~56),Baseline,No,No,No,Discovery,M,P0,,Avi,,No,,
Current State & Data Baseline,,Episode.status = Converted — export for manual review,Baseline,No,No,No,Discovery,M,P0,,Avi,,No,,
Current State & Data Baseline,,Authorization baseStatus STRING value distribution,Baseline,No,No,No,Discovery,M,P0,,Avi,,No,,
Current State & Data Baseline,Run integrity baselines — critical cohorts,Orphan authorized — no valid AUTH_APPROVED (census inflation driver),Baseline,No,No,No,Discovery,L,P0,,Keren,Avi,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
Current State & Data Baseline,,Authorized + dropped/voided intake pairs,Baseline,No,No,No,Discovery,L,P0,,Keren,Avi,No,,
Current State & Data Baseline,,Episode Active without valid authorization (Ntelekos pattern),Baseline,No,No,No,Discovery,L,P0,,Keren,Avi,No,,
Current State & Data Baseline,,CDPAP remediation queue (post 2025-04-01),Baseline,No,No,No,Discovery,L,P0,,Keren,Avi,No,,
Current State & Data Baseline,,Third-party referrals counted as patients (Girling),Baseline,No,No,No,Discovery,L,P0,,Keren,Avi,No,,
Current State & Data Baseline,,Pre-intake and closed legacy counts on Patient picklists,Baseline,No,No,No,Discovery,L,P0,,Keren,Avi,No,,
Current State & Data Baseline,,Multi-intake open conflicts on single record,Baseline,No,No,No,Discovery,L,P0,,Keren,Avi,No,,
Current State & Data Baseline,,Short-term-only pipeline on sales views,Baseline,No,No,No,Discovery,L,P0,,Keren,Avi,No,,
Current State & Data Baseline,,"Stale anticipated SOC (passed date, no confirmed SOC)",Baseline,No,No,No,Discovery,L,P0,,Keren,Avi,No,,
Current State & Data Baseline,,12+ months no service but still authorized/active,Baseline,No,No,No,Discovery,L,P0,,Keren,Avi,No,,
Current State & Data Baseline,,Medicaid deferred > 30 days,Baseline,No,No,No,Discovery,L,P0,,Keren,Avi,No,,
Current State & Data Baseline,Record census gap baseline,Document dashboard authorized count,Baseline,No,No,No,Discovery,S,P0,"~1,960 authorized → target ~1,200–1,300 true census",Keren,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/dashboard-queries.sql; https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
Current State & Data Baseline,,Document estimated true census,Baseline,No,No,No,Discovery,S,P0,"~1,960 authorized → target ~1,200–1,300 true census",Keren,,No,,
Current State & Data Baseline,,Calculate and record gap (~760 records),Baseline,No,No,No,Discovery,S,P0,"~1,960 authorized → target ~1,200–1,300 true census",Keren,,No,,
Current State & Data Baseline,,Identify top 3 drivers of gap from audit cohorts,Baseline,No,No,No,Discovery,S,P0,"~1,960 authorized → target ~1,200–1,300 true census",Keren,,No,,
Current State & Data Baseline,Export manual review batch IDs,Converted Episode IDs,Baseline,No,No,No,Discovery,S,P1,,Avi,,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json
Current State & Data Baseline,,Active without valid auth IDs,Baseline,No,No,No,Discovery,S,P1,,Avi,,No,,
Current State & Data Baseline,,Discharged but never was Active IDs,Baseline,No,No,No,Discovery,S,P1,,Avi,,No,,
Current State & Data Baseline,,Dropped but had Active history IDs,Baseline,No,No,No,Discovery,S,P1,,Avi,,No,,
Current State & Data Baseline,,Per nexus-episode-status-map.json manual_review_queries,Baseline,No,No,No,Discovery,S,P1,,Avi,,No,,
Current State & Data Baseline,Baseline audit complete — all counts recorded,Fill Data Integrity Audit Matrix in workspace doc,Baseline,No,Yes,No,Discovery,S,P0,,Keren,Avi,Yes,,https://github.com/klacadin/evo-growth/blob/master/crm/audit/data-integrity-audit.sql; https://github.com/klacadin/evo-growth/blob/master/crm/Link-Homecare-CRM-Status-Architecture-Execution-Workspace.md
Current State & Data Baseline,,Review counts with Joel — confirm remediation priority order,Baseline,No,Yes,No,Discovery,S,P0,,Keren,Avi,Yes,,
Current State & Data Baseline,,Unlock Data Remediation workstream,Baseline,No,Yes,No,Discovery,S,P0,,Keren,Avi,Yes,,
Target Architecture & Migration Design,Finalize status architecture tables,"Master lifecycle: entry/exit conditions, allowed transitions",Architecture,No,No,No,Discovery,M,P0,,Keren,"Joel, Avi",No,Sign Status Framework v1,https://github.com/klacadin/evo-growth/blob/master/crm/glossary-pipeline-v2.md; https://github.com/klacadin/evo-growth/blob/master/crm/schema/lifecycle.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json
Target Architecture & Migration Design,,Referral sub-status rules,Architecture,No,No,No,Discovery,M,P0,,Keren,"Joel, Avi",No,Sign Status Framework v1,
Target Architecture & Migration Design,,Intake status per LOB,Architecture,No,No,No,Discovery,M,P0,,Keren,"Joel, Avi",No,Sign Status Framework v1,
Target Architecture & Migration Design,,Authorization validity rules,Architecture,No,No,No,Discovery,M,P0,,Keren,"Joel, Avi",No,Sign Status Framework v1,
Target Architecture & Migration Design,,LOB/service-line status rules,Architecture,No,No,No,Discovery,M,P0,,Keren,"Joel, Avi",No,Sign Status Framework v1,
Target Architecture & Migration Design,,Invalid transitions list,Architecture,No,No,No,Discovery,M,P0,,Keren,"Joel, Avi",No,Sign Status Framework v1,
Target Architecture & Migration Design,Complete old-to-new status mapping,Episode.status migration (New/Lead/Converted/On Hold → Referral),Architecture,No,No,No,Discovery,M,P0,,Keren,Avi,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/nexus-episode-status-map.json; https://github.com/klacadin/evo-growth/blob/master/crm/schema/legacy-status-map.json
Target Architecture & Migration Design,,LeadStatus migration (retire Converted),Architecture,No,No,No,Discovery,M,P0,,Keren,Avi,No,,
Target Architecture & Migration Design,,"Patient legacy: pre-intake, closed, authorized",Architecture,No,No,No,Discovery,M,P0,,Keren,Avi,No,,
Target Architecture & Migration Design,,Classify each: safe auto / conditional / manual review / deprecate,Architecture,No,No,No,Discovery,M,P0,,Keren,Avi,No,,
Target Architecture & Migration Design,,Update crm/schema/nexus-episode-status-map.json,Architecture,No,No,No,Discovery,M,P0,,Keren,Avi,No,,
Target Architecture & Migration Design,Define required field matrix,Referral / New and In Progress required fields,Architecture,No,No,No,Discovery,M,P0,,Keren,Joel,No,,https://github.com/klacadin/evo-growth/blob/master/crm/schema/validation-rules.ts; https://github.com/klacadin/evo-growth/blob/master/crm/schema/enums.json
Target Architecture & Migration Design,,Dropped Off Referral required fields,Architecture,No,No,No,Discovery,M,P0,,Keren,Joel,No,,
